DIRECTION,REVENUE,SALES_VOLUME,FREIGHT_RATE,NUM_40,NUM_20,percent_40,Nomal_Rate
乍浦_锦州,1422,40,1422.75,1,0,1.0,1.00
锦州_常熟,4779,80,1194.9,0,4,0.0,1.00
珠海（高栏）_南沙,52,20,52.5,0,1,0.0,0.00
江阴_小榄,4951,60,1650.5999999999997,0,3,0.0,1.00
漳州_阳江,1278,40,639.45,0,2,0.0,0.50
紫金村_秦皇岛,1270,20,1270.5,0,1,0.0,1.00
扬州_顺乐,3192,40,3192.0,1,0,1.0,1.00
厦门_梧州（李家庄）,1295,20,1295.7,0,1,0.0,1.00
南京_茂名水东,7522,60,2507.4,0,3,0.0,0.00
顺乐_江阴,722,40,361.2,0,2,0.0,0.00
宁波_肇庆（新港）,10661,160,1523.1000000000001,1,6,0.14285714285714285,1.00
双水小冈_唐山,7903,340,790.3349999999999,7,3,0.7,0.00
清远清新_秦皇岛,2131,260,163.96153846153845,0,13,0.0,0.54
勒流_秦皇岛,1449,40,1449.0,1,0,1.0,0.00
荆州_淮安,7560,80,1890.0,0,4,0.0,0.00
扬州_新会新港,9595,140,1919.19,2,3,0.4,0.20
张家港_顺乐,8680,120,2170.0875,2,2,0.5,1.00
日照_珠海洪湾,17131,180,3426.3599999999997,4,1,0.8,1.00
小塘_锦州,1400,80,350.175,0,4,0.0,0.75
泉州_肇庆（三榕）,3830,80,957.6,0,4,0.0,1.00
宿迁_泉州,1848,40,1848.0,1,0,1.0,0.00
如皋_黄埔旧港,1060,20,1060.5,0,1,0.0,1.00
大连_乍浦,2361,40,2361.45,1,0,1.0,0.00
锦州_潍坊,12589,240,1049.125,0,12,0.0,1.00
柳州武宣_潍坊,1945,20,1945.65,0,1,0.0,1.00
宜宾_大连,10500,100,2100.0,0,5,0.0,1.00
丹东_昆明,2891,40,1445.85,0,2,0.0,1.00
重庆_新会新港,17430,160,4357.5,4,0,1.0,1.00
秦皇岛_九江（江西）,12980,140,3245.0249999999996,3,1,0.75,0.75
潍坊_北海,5109,40,2554.65,0,2,0.0,1.00
三水_合肥,609,20,609.0,0,1,0.0,1.00
马尾_泰州,3250,60,1083.6,0,3,0.0,1.00
蚌埠_顺德新港,1890,20,1890.0,0,1,0.0,1.00
洋浦港_日照,1890,40,945.0,0,2,0.0,1.00
柳州武宣_龙口,10747,80,2686.95,0,4,0.0,1.00
黄石_嘉兴,1260,20,1260.0,0,1,0.0,0.00
清远清新_福清,322,20,322.35,0,1,0.0,0.00
钦州_虎门,7528,200,1505.7,5,0,1.0,0.00
泰州_乐平,5990,120,1996.75,3,0,1.0,0.00
漳州_涪陵,2660,20,2660.7,0,1,0.0,1.00
高明_厦门,-23,40,-11.55,0,2,0.0,0.00
太仓_昆明,4200,80,1050.0,0,4,0.0,0.00
大连_清远清新,5901,40,2950.5,0,2,0.0,1.00
马鞍山_大连,630,20,630.0,0,1,0.0,0.00
潍坊_珠海（高栏）,2361,20,2361.45,0,1,0.0,1.00
四会_扬州,15339,280,2191.35,7,0,1.0,1.00
连云港_惠州,6780,80,3390.45,2,0,1.0,0.00
泉州_钦州,3431,100,857.8499999999999,1,3,0.25,1.00
上海_小塘,1587,20,1587.6,0,1,0.0,1.00
烟台_石龙,1863,20,1863.75,0,1,0.0,0.00
塘源_江阴,786,20,786.45,0,1,0.0,0.00
紫金村_淮安,4659,60,1553.3,0,3,0.0,1.00
泰州_鹤山,1504,20,1504.65,0,1,0.0,0.00
南昌_深圳（大铲湾）,13230,120,2205.0,0,6,0.0,1.00
虎门_宁波,1296,40,648.375,0,2,0.0,1.00
董家口_湛江,9618,100,1923.6,0,5,0.0,1.00
威海_鸦岗,5168,40,2584.05,0,2,0.0,0.00
宜昌_宁波,7560,60,2520.0,0,3,0.0,1.00
台山_泰州,1106,40,553.35,0,2,0.0,1.00
青岛_鹤山,4554,40,2277.45,0,2,0.0,1.00
肇庆（三榕）_黄骅,1020,40,510.3,0,2,0.0,1.00
厦门_珠海（高栏）,6293,220,1048.9499999999998,5,1,0.8333333333333334,1.00
重庆_芜湖,2310,20,2310.0,0,1,0.0,0.00
双水小冈_上海,1377,80,344.4,0,4,0.0,1.00
高明_重庆,1919,40,959.7,0,2,0.0,1.00
神湾_日照,976,240,162.75,6,0,1.0,0.00
连云港_南庄,8641,100,1728.3,0,5,0.0,0.00
日照_南鲲,2302,20,2302.65,0,1,0.0,1.00
新港_北海,16811,160,2801.9249999999997,2,4,0.3333333333333333,0.17
曹妃甸_马尾,1760,20,1760.85,0,1,0.0,0.00
柳州武宣_温州,4204,40,2102.1,0,2,0.0,0.00
安庆_贵港,2501,20,2501.1,0,1,0.0,1.00
紫金村_常州,8344,120,2781.4500000000003,3,0,1.0,1.00
寿光_海口,8841,80,4420.5,2,0,1.0,1.00
柳州武宣_南通,1467,20,1467.9,0,1,0.0,1.00
南通_漳州,2901,40,1450.575,0,2,0.0,0.50
南通_贵港,8322,80,2080.575,0,4,0.0,0.25
唐山_嘉兴,1451,20,1451.1,0,1,0.0,0.00
张家港_中山,18707,240,1700.7136363636362,1,10,0.09090909090909091,1.00
黄骅_乌冲口,5569,80,2784.6,2,0,1.0,1.00
南通_黄骅,550,40,275.1,0,2,0.0,1.00
乍浦_三埠,1004,20,1004.85,0,1,0.0,0.00
宜宾_丹东,1627,20,1627.5,0,1,0.0,0.00
张家港_福清,3132,40,1566.075,0,2,0.0,1.00
柳州武宣_南京,2885,40,1442.7,0,2,0.0,0.00
北海_嘉兴,4636,80,2318.4,2,0,1.0,1.00
营口_云浮,35137,440,3194.290909090909,11,0,1.0,0.00
新会新港_泰州,1879,80,469.875,0,4,0.0,0.75
