DIRECTION,REVENUE,SALES_VOLUME,FREIGHT_RATE,NUM_40,NUM_20,percent_40,Nomal_Rate,score
海口_太仓,546999,22480,487.5219251336883,2,1120,0.0017825311942959,0.99,0.23040468534871314
新港_双水小冈,48451,500,2422.560000000001,5,15,0.25,0.9,0.23037406703902033
烟台_海口,166322,1540,2970.0375000000017,21,35,0.375,0.59,0.23029226083995352
日照_顺乐,13962,160,2792.5799999999995,3,2,0.6,0.6,0.23028253261336332
丹东_茂名水东,10036,80,2509.2375,0,4,0.0,1.0,0.23027503215265646
锦州_武林,173885,1460,2381.989726027397,0,73,0.0,1.0,0.2302340464677867
莱州_云浮,5023,40,2511.6,0,2,0.0,1.0,0.23022400233442217
安吉_黄埔旧港,8884,140,2221.0125,3,1,0.75,0.75,0.23021450236398244
泰州_武林,2509,20,2509.5,0,1,0.0,1.0,0.23006925650649418
营口_昆明,93332,920,2276.4,5,36,0.12195121951219512,1.0,0.2300572330974745
秦皇岛_四会永泰,2507,20,2507.4,0,1,0.0,1.0,0.22998654871845528
威海_宁德,149433,1440,2668.4625000000005,16,40,0.2857142857142857,0.75,0.22995535579391965
泰州_阳江,7506,60,2502.15,0,3,0.0,1.0,0.22992385532813608
黄骅_勒流,144788,1240,2373.58524590164,1,60,0.016393442622950817,1.0,0.22990734174009284
新港_德清,230281,1980,2326.0787878787837,0,99,0.0,1.0,0.22990500216135323
清远清新_锦州,63709,1680,1384.9956521739136,38,8,0.8260869565217391,0.98,0.2298780174047948
秦皇岛_双水小冈,47384,540,2787.3176470588237,10,7,0.5882352941176471,0.59,0.2298572346788754
秦皇岛_合肥,20331,240,3388.525,6,0,1.0,0.17,0.22983677655522974
锦州_汕头,722707,6700,2628.027818181813,60,215,0.21818181818181814,0.61,0.229816776127786
丹东_长沙,199682,1420,2812.432394366198,0,71,0.0,0.83,0.2297878089479471
安庆_贵港,2501,20,2501.1,0,1,0.0,1.0,0.22973842535433853
莱州_肇庆（三榕）,2499,20,2499.0,0,1,0.0,1.0,0.2296557175662996
南通_深圳（大铲湾）,191034,2280,2653.2625000000016,42,30,0.5833333333333334,0.58,0.2295915923367876
泉州_南庄,396258,26880,295.2745529061058,2,1340,0.0014903129657228018,0.9,0.2295322547406635
莱州_新会新港,117919,980,2406.5142857142882,0,49,0.0,1.0,0.2294710249791786
烟台_虎门,32744,380,2976.75,8,3,0.7272727272727273,0.45,0.2292888786086103
扬州_小铲滩,383403,3540,2166.1203389830475,0,177,0.0,1.0,0.22922405999350762
武汉_虎门,638977,6600,1936.2954545454545,0,330,0.0,0.98,0.22916430494027862
徐州_小铲滩,99855,860,2377.5,1,41,0.023809523809523808,1.0,0.22905322179081675
如皋_小铲滩,6199,80,2066.4,1,2,0.3333333333333333,1.0,0.22903402734995015
唐山_湛江,320008,3640,2882.95945945946,71,40,0.6396396396396397,0.41,0.2290182024100897
上海_福清,11096,180,1849.4,3,3,0.5,1.0,0.22894774611870747
营口_宁德,1238142,15080,1717.256796116509,33,688,0.045769764216366166,0.74,0.22894608109240394
宁波_湛江,266564,3140,2149.714112903228,33,91,0.2661290322580645,0.89,0.22890601651150272
南京_北海,34366,280,2454.75,0,14,0.0,1.0,0.2288494408368944
广利港_梧州（李家庄）,12340,100,2468.13,0,5,0.0,1.0,0.22872806524168374
日照_海口,355262,3620,2691.3806818181797,49,83,0.3712121212121212,0.61,0.22865532176799966
新港_芜湖,64209,560,2378.1333333333346,1,26,0.037037037037037035,1.0,0.2286404519539531
