DIRECTION,REVENUE,SALES_VOLUME,FREIGHT_RATE,NUM_40,NUM_20
贵港南京,51250,700,1464.2999999999997,0,35
鱼珠防城,47602,1000,952.056,0,50
鸦岗防城,1063,20,1063.65,0,1
池州黄埔旧港,1434,20,1434.3,0,1
珠海（高栏）宁波,20419,540,756.2722222222221,0,27
湛江海安宁波,9217,180,1024.2166666666667,0,9
岳阳北海,122377,1480,3307.5,37,0
黄石海口,33075,300,2205.0,0,15
涪陵宁德,56700,360,3150.0,0,18
营口南鲲,62349,600,2078.3,0,30
阳江南京,11152,260,857.8499999999999,0,13
龙口海口,109416,1040,3647.2099999999996,22,8
黄石锦州,525,20,525.0,0,1
龙口顺德新港,183448,1540,2382.450000000001,0,77
威海虎门,1923,20,1923.6,0,1
南昌泸州,39690,280,2835.0,0,14
鱼珠宁波,18006,510,1059.2029411764704,6,9
外沙烟台,4410,80,1102.5,0,4
镇江三水,13935,200,1393.56,0,10
桂平新龙小铲滩,59608,860,1386.2441860465117,0,43
梧州（李家庄）江阴,12029,180,1336.6499999999999,0,9
柳州武宣宁波,2725,40,1362.9,0,2
武汉福清,7402,60,2467.5,0,3
董家口龙通,13730,280,1961.55,7,0
扬州海口,36080,340,2405.3399999999992,2,13
泉州嘉兴,3043,60,1521.975,1,1
如皋深圳（大铲湾）,42068,680,2003.2499999999995,13,8
盘锦汕头,13793,140,1970.55,0,7
宜兴海口,47250,600,1575.0,0,30
三埠徐州,2906,40,1453.2,0,2
博罗合肥,2295,40,1147.65,0,2
茂名水东连云港,15477,400,773.8500000000001,0,20
九江（江西）锦州,3150,100,630.0,0,5
徐州顺德新港,51765,620,1669.8387096774193,0,31
新会新港小铲滩,59361,1600,1447.8475609756097,39,2
泸州南昌,8400,80,2100.0,0,4
柳州武宣合肥,7778,80,1944.6,0,4
虎门大连,443,20,443.1,0,1
太仓新会新港,36608,560,1743.2500000000005,7,14
柳州武宣日照,20760,320,1297.5375,0,16
董家口南沙,12873,260,1839.0,6,1
青岛泸州,75072,400,4170.716666666666,2,16
厦门九江（江西）,28753,480,1198.05,0,24
张家港荆州,36540,480,3045.0,12,0
江阴南沙,28047,420,1335.5999999999997,0,21
蚌埠贵港,51030,440,2319.5454545454545,0,22
四会大连,12497,440,833.14,7,8
重庆汕头,8505,60,4252.5,1,1
曹妃甸厦门,1934,40,967.05,0,2
常德鹤山,22575,200,2257.5,0,10
江阴昆明,23100,400,1155.0,0,20
芜湖厦门,16774,220,1524.9818181818182,0,11
虎门青岛,2056,120,685.65,3,0
宿迁小榄,6699,100,1339.8,0,5
上海三水,14721,200,1472.1,0,10
烟台博罗,13773,120,2295.65,0,6
丹东博罗,4175,40,2087.925,0,2
湛江常州,24384,680,1161.1584999999998,13,8
秦皇岛阳江,13881,120,2313.5,0,6
丹东云浮,25684,260,1975.6961538461535,0,13
厦门黄埔旧港,3994,120,665.6999999999999,0,6
潍坊小铲滩,91801,840,2700.044117647059,8,26
镇江黄骅,367,20,367.5,0,1
曹妃甸神湾,46267,540,1713.5999999999997,0,27
烟台勒流,14716,160,1839.6,0,8
虎门曹妃甸,3864,200,386.4,0,10
贵港池州,1957,20,1957.2,0,1
龙口厦门,35794,480,1556.2826086956522,1,22
