,before_days,average_count,SVVD,FLOW
3,,,,营口_钦州
4,,,,营口_钦州
5,,,,营口_钦州
6,,,,营口_钦州
7,,,,营口_钦州
8,,,,营口_钦州
9,,,,营口_钦州
10,,,,营口_钦州
11,,,,营口_钦州
0,0.0,151.23529411764707,IC5-R9J-140 NIC5-R8J-140 NIC5-N8A-081 NIC5-R2K-138 NIC5-R9J-141 NIC5-TNB-225 NIC5-N8A-082 NIC5-R8J-141 NIC5-R2K-139 NIC5-TNB-226 NIC5-R9J-142 NIC5-N8A-083 NIC5-R8J-142 NIC5-R2K-140 NIC5-N8A-084 NIC5-TNB-227 NIC5-R9J-143 N,上海_烟台
1,17.0,112.88235294117648,IC5-R9J-140 NIC5-R8J-140 NIC5-N8A-081 NIC5-R2K-138 NIC5-R9J-141 NIC5-TNB-225 NIC5-N8A-082 NIC5-R8J-141 NIC5-R2K-139 NIC5-TNB-226 NIC5-R9J-142 NIC5-N8A-083 NIC5-R8J-142 NIC5-R2K-140 NIC5-N8A-084 NIC5-TNB-227 NIC5-R9J-143 N,上海_烟台
2,34.0,40.76470588235294,IC5-R9J-140 NIC5-R8J-140 NIC5-N8A-081 NIC5-R2K-138 NIC5-R9J-141 NIC5-TNB-225 NIC5-N8A-082 NIC5-R8J-141 NIC5-R2K-139 NIC5-TNB-226 NIC5-R9J-142 NIC5-N8A-083 NIC5-R8J-142 NIC5-R2K-140 NIC5-N8A-084 NIC5-TNB-227 NIC5-R9J-143 N,上海_烟台
3,51.0,15.29411764705882,IC5-R9J-140 NIC5-R8J-140 NIC5-N8A-081 NIC5-R2K-138 NIC5-R9J-141 NIC5-TNB-225 NIC5-N8A-082 NIC5-R8J-141 NIC5-R2K-139 NIC5-TNB-226 NIC5-R9J-142 NIC5-N8A-083 NIC5-R8J-142 NIC5-R2K-140 NIC5-N8A-084 NIC5-TNB-227 NIC5-R9J-143 N,上海_烟台
4,,,,上海_烟台
5,,,,上海_烟台
6,,,,上海_烟台
7,,,,上海_烟台
8,,,,上海_烟台
9,,,,上海_烟台
10,,,,上海_烟台
0,0.0,66.81818181818183,IC9-RIG-103 NIC9-RFF-392 NIC9-RIP-351 NIC9-Q22-109 NIC9-Q55-106 NIC9-RZD-217 NIC9-RIU-078 NIC9-QUB-095 NIC9-QPE-298 NIC9-RAC-165 NIC9-RIP-352 NIC9-RIG-104 NIC9-RFF-393 NIC9-Q55-107 NIC9-Q22-110 NIC9-RZD-218 NIC9-QUB-096 NIC9-RIU-079 NIC9-QPE-299 NIC9-RAC-166 NIC9-RIP-353 NIC50-LF2-441 S,乐从_营口
1,24.0,53.54545454545453,IC9-RIG-103 NIC9-RFF-392 NIC9-RIP-351 NIC9-Q22-109 NIC9-Q55-106 NIC9-RZD-217 NIC9-RIU-078 NIC9-QUB-095 NIC9-QPE-298 NIC9-RAC-165 NIC9-RIP-352 NIC9-RIG-104 NIC9-RFF-393 NIC9-Q55-107 NIC9-Q22-110 NIC9-RZD-218 NIC9-QUB-096 NIC9-RIU-079 NIC9-QPE-299 NIC9-RAC-166 NIC9-RIP-353 NIC50-LF2-441 S,乐从_营口
2,46.0,129.54545454545453,IC9-RIG-103 NIC9-RFF-392 NIC9-RIP-351 NIC9-Q22-109 NIC9-Q55-106 NIC9-RZD-217 NIC9-RIU-078 NIC9-QUB-095 NIC9-QPE-298 NIC9-RAC-165 NIC9-RIP-352 NIC9-RIG-104 NIC9-RFF-393 NIC9-Q55-107 NIC9-Q22-110 NIC9-RZD-218 NIC9-QUB-096 NIC9-RIU-079 NIC9-QPE-299 NIC9-RAC-166 NIC9-RIP-353 NIC50-LF2-441 S,乐从_营口
3,68.0,64.40909090909092,IC9-RIG-103 NIC9-RFF-392 NIC9-RIP-351 NIC9-Q22-109 NIC9-Q55-106 NIC9-RZD-217 NIC9-RIU-078 NIC9-QUB-095 NIC9-QPE-298 NIC9-RAC-165 NIC9-RIP-352 NIC9-RIG-104 NIC9-RFF-393 NIC9-Q55-107 NIC9-Q22-110 NIC9-RZD-218 NIC9-QUB-096 NIC9-RIU-079 NIC9-QPE-299 NIC9-RAC-166 NIC9-RIP-353 NIC50-LF2-441 S,乐从_营口
4,104.0,80.95454545454547,IC9-RIG-103 NIC9-RFF-392 NIC9-RIP-351 NIC9-Q22-109 NIC9-Q55-106 NIC9-RZD-217 NIC9-RIU-078 NIC9-QUB-095 NIC9-QPE-298 NIC9-RAC-165 NIC9-RIP-352 NIC9-RIG-104 NIC9-RFF-393 NIC9-Q55-107 NIC9-Q22-110 NIC9-RZD-218 NIC9-QUB-096 NIC9-RIU-079 NIC9-QPE-299 NIC9-RAC-166 NIC9-RIP-353 NIC50-LF2-441 S,乐从_营口
5,,,,乐从_营口
6,,,,乐从_营口
7,,,,乐从_营口
8,,,,乐从_营口
9,,,,乐从_营口
10,,,,乐从_营口
11,,,,乐从_营口
12,,,,乐从_营口
13,,,,乐从_营口
